id,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,-0.599723815,0.334526185,-0.311973815,-0.167307148,0.444526185,-1.074890482,-0.255557148,-0.675640482,-0.176390482,-0.708390482,-0.362140482,-0.135890482,-0.844807148,-0.676307148,-0.158640482,-0.202057148,0.235526185,0.853276185,-0.718307148,-0.144807148,-0.578057148,-0.180390482,-1.024807148,0.110276185,0.194192852,-0.722390482,-0.432307148,-0.129557148,-0.315973815,-0.216723815,-0.428307148,-0.579557148,-0.730723815,-0.613807148,-0.396640482,-0.178390482,-0.719890482,-0.765057148,-0.053890482,-0.489723815,0.149942852,0.100609518,0.672692852,1.441442852,0.389859518,-0.353473815,0.230442852,-0.195057148,0.533359518,0.973776185,0.273942852,-0.711223815,-1.017807148,-0.093557148,0.114109518,0.589442852,-0.369973815,0.581276185,0.129776185,-1.284140482,0.655442852,0.091276185,-0.075890482,0.003609518,-0.292640482,0.972109518,-0.976390482,0.040526185,0.281692852,-0.398057148,-0.298973815,-0.256223815,0.721776185,0.762192852,-1.514140482,0.174192852,-0.744557148,-0.513223815,-0.352723815,0.744109518,0.268359518,0.200776185,0.826026185,0.798776185,-0.328223815,0.553526185,0.184526185,0.827442852,0.161859518,0.922692852,1.327692852,0.064442852,0.932026185,0.309442852,-0.005223815,0.377942852,0.693442852,0.797859518,0.364692852,0.842692852,1.071192852,1.327442852,1.436526185,1.716776185,1.476359518,0.854692852,1.709609518,0.918692852,1.534276185,1.044859518,1.155192852,1.196442852,1.767359518,1.456692852,0.420276185,2.472317852
Albania,0.317549654,0.008716321,0.491216321,-0.127783679,-0.094700346,-0.033533679,-0.048033679,-0.413533679,-0.397617013,-0.353700346,-0.330117013,-0.017533679,0.087466321,-0.093783679,-0.519533679,-0.225200346,-0.561533679,0.113049654,0.972799654,0.106799654,0.153882987,-0.256867013,0.120132987,-0.066367013,0.093132987,0.735966321,-0.025367013,0.113299654,0.675132987,1.041049654,0.319716321,-0.554367013,0.629466321,0.084132987,0.006299654,-0.566783679,0.946632987,0.365382987,0.540966321,0.676382987,0.036966321,0.480382987,-0.994867013,-0.521783679,-0.271367013,0.619882987,-0.129950346,0.367216321,0.895132987,0.818049654,0.176549654,-0.059117013,1.235466321,0.992466321,0.996549654,0.008966321,-0.127283679,0.570716321,-0.405033679,0.501049654,0.617132987,-0.171783679,0.757716321,0.739382987,0.491382987,0.508466321,-0.062033679,-0.198950346,0.627216321,0.044382987,0.292216321,0.225549654,0.262299654,-0.042950346,0.030882987,-0.090700346,-0.017533679,-0.008950346,-0.541117013,0.645882987,-0.313783679,0.411799654,-0.415283679,0.001299654,0.437882987,-0.066450346,0.063382987,0.370799654,0.479049654,0.419216321,0.466716321,0.226466321,0.891299654,-0.238533679,0.507299654,0.545216321,1.522299654,0.204716321,0.159132987,0.323549654,0.733882987,1.076382987,1.169216321,1.113049654,0.982549654,1.049216321,0.680799654,0.169716321,0.399549654,1.313132987,1.377799654,1.266882987,1.198049654,0.865882987,1.190882987,2.416507987
Algeria,-0.114923258,0.439910075,-0.075423258,-0.213173258,0.112826742,-0.383923258,-0.257256591,-0.379506591,-0.471006591,-0.768006591,-0.110006591,-0.369756591,-0.262673258,-0.364923258,-0.072839925,0.139660075,0.103576742,-0.118423258,-0.296589925,-0.478423258,-0.528339925,-0.166256591,0.154743409,-0.216006591,-0.005089925,-0.503839925,0.478493409,-0.213006591,0.562076742,0.395826742,0.175826742,-0.267506591,0.514910075,0.926243409,0.677326742,0.228910075,-0.194923258,-0.019839925,0.001326742,0.787910075,-0.211923258,-0.098173258,0.066326742,0.503826742,0.670576742,0.093743409,-0.005423258,0.425910075,0.314660075,0.750576742,0.131743409,0.248576742,-0.157756591,0.382076742,0.245826742,-0.070173258,-0.287173258,1.065243409,-0.328256591,-0.319339925,0.605326742,0.394076742,0.564493409,0.450743409,0.242826742,0.378243409,0.207910075,0.034160075,0.361743409,-0.077923258,0.246326742,0.518660075,0.383243409,-0.267339925,-0.241423258,-0.053423258,-0.398589925,-0.223173258,-0.582839925,0.606493409,0.222243409,0.457243409,0.220576742,0.639660075,0.154576742,0.743410075,0.123493409,0.586660075,0.317076742,1.308160075,0.876076742,0.784743409,1.074826742,0.071493409,-0.172589925,0.511243409,0.702493409,0.782910075,0.794743409,1.015576742,0.980993409,1.359826742,1.092660075,1.784826742,1.323410075,1.454076742,0.976410075,1.282993409,1.261243409,1.125743409,1.010660075,1.214743409,2.276076742,1.204576742,1.015243409,2.181910075
Angola,-0.597099027,-0.260432361,-0.028265694,-0.066765694,-0.182432361,-0.233432361,-0.998932361,-0.313765694,-0.486432361,-0.767349027,-0.468515694,-0.212932361,-0.230265694,-0.593849027,0.105734306,0.005484306,-0.085765694,-0.073599027,0.160567639,-0.142765694,-0.873349027,-0.558515694,-0.034349027,0.108900973,0.092234306,-0.196349027,0.191817639,-0.271849027,0.104484306,0.098067639,0.293400973,0.045984306,-0.199349027,0.235817639,-0.195015694,0.016900973,0.162067639,-0.077099027,-0.283849027,-0.081932361,-0.084599027,-0.292015694,-0.067599027,0.489734306,0.073900973,-0.141349027,0.345900973,0.177734306,0.342150973,0.307817639,0.078150973,0.110067639,-0.246349027,0.183984306,0.369484306,-0.093349027,-0.251182361,-0.239932361,-0.296265694,0.173317639,0.202067639,0.263484306,0.108900973,0.120567639,0.030484306,0.019567639,-0.131765694,0.001734306,0.285067639,-0.041765694,-0.070015694,0.372317639,0.331650973,0.018817639,0.192817639,0.531484306,-0.194682361,-0.079265694,-0.370765694,0.132567639,-0.001182361,0.326567639,0.259400973,0.209734306,0.001817639,0.549067639,0.537984306,0.203650973,0.218067639,0.931734306,0.594150973,0.303984306,0.648234306,0.277234306,0.680400973,0.472817639,0.371234306,1.117984306,0.661067639,0.498984306,1.301984306,0.563900973,0.542484306,0.684734306,1.107317639,1.248400973,0.754650973,1.147900973,0.128900973,0.608900973,0.469150973,0.498317639,0.863317639,0.211484306,0.305150973,0.689692639
Argentina,-0.820370807,0.053212526,0.192462526,0.19454586,0.006379193,-0.23870414,-0.18245414,-0.423370807,0.07979586,-0.61145414,-0.254870807,-0.35920414,-0.45020414,-0.72845414,-0.115870807,0.54454586,-0.124287474,-0.02945414,-0.167787474,0.04529586,-0.25395414,0.12429586,-0.00345414,-0.437370807,-0.35420414,-0.54670414,-0.497870807,-0.022620807,0.253379193,0.09929586,-0.408870807,0.152629193,0.228629193,-0.499120807,0.364129193,-0.032287474,-0.260870807,0.20079586,0.08129586,0.135879193,-0.117120807,0.01829586,-0.019370807,-0.16245414,-0.20645414,0.288712526,0.74979586,0.775712526,0.003129193,0.16179586,0.16354586,0.15654586,0.18029586,0.222129193,0.30154586,0.359962526,-0.123370807,-0.423620807,-0.593370807,0.041462526,0.328629193,-0.260537474,0.378879193,0.358129193,0.237629193,0.232379193,-0.183537474,0.29479586,0.063212526,0.434962526,0.582129193,0.64804586,0.58054586,0.036379193,0.203629193,-0.016870807,0.022879193,0.324879193,-0.174537474,0.736462526,0.57129586,0.359879193,0.612129193,0.552629193,0.641962526,0.33954586,-0.21395414,0.711462526,0.719962526,0.572712526,0.22154586,0.928212526,0.54029586,0.48279586,0.124379193,0.483879193,0.963879193,0.53504586,0.59679586,1.005879193,0.646962526,0.450129193,0.135712526,0.755629193,0.568962526,0.90354586,0.827379193,0.49804586,0.94629586,0.01329586,0.861212526,0.919629193,0.46404586,0.724879193,1.074212526,-0.157662474
Armenia,-0.735670169,0.929079831,-0.332920169,0.676329831,-0.072503502,-0.548670169,-0.727753502,-0.288170169,-0.224420169,-0.986920169,-0.798086835,0.070829831,-0.048503502,-1.582086835,0.340579831,-0.481336835,-0.086503502,0.330996498,0.517079831,0.820246498,0.311829831,0.302913165,-1.556086835,-0.875086835,0.580329831,0.275163165,0.410079831,0.342663165,0.077413165,0.032913165,-1.034503502,-0.701920169,0.454496498,-0.657003502,-0.448086835,-0.807753502,-0.616336835,0.390579831,0.138663165,0.678996498,0.316913165,0.361913165,0.747913165,0.431079831,0.033496498,0.004246498,0.560246498,-0.663753502,-0.201586835,0.880663165,-0.050503502,-0.554336835,-0.363670169,0.164913165,0.633329831,-0.207920169,0.360246498,1.391496498,-0.811336835,0.395663165,0.393579831,-0.609170169,0.696579831,0.905329831,1.405413165,0.696329831,-0.519003502,-0.080586835,2.264329831,-0.489586835,0.329913165,-0.345836835,1.269913165,0.528746498,-0.787503502,-0.369503502,-0.262336835,0.416329831,-0.231586835,0.115413165,0.470996498,1.569746498,0.781913165,1.228746498,-0.302336835,0.423913165,0.491079831,0.598079831,0.730163165,0.419996498,0.049413165,1.209163165,0.681413165,0.795913165,-0.962003502,-0.807003502,0.444579831,1.315496498,1.242496498,0.669663165,1.871746498,1.754329831,1.341496498,1.866746498,1.028329831,0.846413165,1.143496498,1.158746498,1.476829831,0.958579831,1.130079831,1.265413165,2.932829831,0.559329831,1.774079831,2.767079831
Australia,-0.047921024,-0.431921024,0.147745643,-0.036254357,-0.020921024,-0.44208769,-0.648004357,-0.44133769,0.26616231,-0.32433769,-0.75433769,-0.56608769,-0.049754357,-0.270921024,0.207328976,-0.431004357,0.567495643,0.525995643,-0.114421024,-0.84733769,-0.249504357,0.209745643,-0.294421024,0.061245643,-0.16908769,-0.082004357,-0.406254357,-0.521004357,0.083745643,-0.221004357,0.400245643,-0.51758769,0.021995643,-0.379754357,-0.159171024,-0.23233769,-0.111754357,-0.221421024,0.097495643,-0.091504357,0.46991231,-0.27883769,0.062745643,-0.256004357,0.307578976,-0.301671024,-0.088671024,-0.014754357,-0.37758769,-0.02858769,-0.15933769,-0.633921024,-0.295921024,-0.06183769,-0.13183769,-0.144254357,-0.060171024,-0.055754357,-0.61283769,0.283828976,0.37841231,0.479328976,-0.40833769,0.34541231,0.184078976,0.078995643,0.03191231,0.473245643,-0.25783769,0.006578976,-0.156671024,0.228745643,0.15691231,0.035495643,0.393245643,0.79391231,-0.380754357,0.073828976,-0.425421024,0.27366231,-0.013671024,0.633495643,0.967328976,0.545245643,0.29166231,0.642245643,-0.101921024,0.424578976,0.47441231,0.453578976,1.011245643,0.243995643,0.73691231,0.868578976,0.313745643,0.541328976,0.41141231,0.336328976,0.706495643,0.46716231,1.045995643,0.44566231,0.090828976,0.17391231,0.841995643,0.821495643,0.668078976,1.277995643,0.645578976,0.86791231,0.607078976,1.071745643,0.459328976,0.14816231,0.40566231,0.52403731
Austria,0.650844867,-0.100321799,0.492761534,-0.520988466,-0.600488466,0.062594867,0.357094867,-0.189988466,-0.151321799,-0.218488466,-0.634655133,-0.726821799,0.072428201,0.554844867,-0.574571799,-0.043155133,-0.326488466,-0.216738466,0.573428201,-0.509155133,0.247094867,-0.678738466,0.653344867,0.691428201,-0.656988466,0.278094867,-0.590821799,-0.103905133,0.645761534,0.323261534,0.486344867,-0.599821799,0.631844867,-0.548571799,0.078594867,-0.848571799,1.237094867,-0.022071799,0.323761534,0.410344867,0.217094867,0.054344867,-1.453988466,-0.904655133,-0.506238466,0.728011534,-0.212321799,0.550511534,0.649928201,0.592678201,0.697344867,0.785344867,0.858261534,0.902344867,0.017844867,0.611428201,-0.472988466,-0.307988466,-0.982488466,0.517511534,0.391011534,0.671261534,0.349594867,1.008094867,-0.736488466,-0.526571799,0.025844867,-0.540405133,0.695928201,0.660678201,0.201761534,-0.177155133,-0.242655133,0.271844867,0.072344867,0.036011534,0.713928201,0.720511534,0.238594867,0.738511534,-0.390655133,0.226511534,-0.543905133,0.326094867,0.741094867,1.009594867,-0.115655133,-0.254488466,0.139428201,-0.007988466,0.904678201,1.194928201,1.166511534,0.180428201,1.438094867,0.681178201,1.987428201,0.669011534,-0.314238466,0.847594867,1.045261534,1.056761534,1.907428201,1.011428201,1.737761534,1.331844867,0.728594867,0.432011534,1.100094867,1.799011534,1.624428201,1.438511534,0.471594867,1.678094867,1.433844867,1.877636534
Azerbaijan,-0.741483482,0.755349852,-0.578650148,0.486766518,-0.156233482,-0.412483482,-0.643650148,-0.232983482,-0.100900148,-0.959233482,-0.832150148,0.169516518,0.138766518,-1.675650148,0.155016518,-0.202483482,0.148266518,0.514349852,0.242183185,0.721016518,0.060183185,0.286016518,-1.567066815,-0.672733482,0.574849852,0.301183185,0.170683185,0.353849852,-0.038733482,0.030683185,-1.051983482,-0.872316815,0.027933185,-0.752316815,-0.426733482,-0.564983482,-0.580816815,0.370933185,0.266849852,0.622349852,0.573266518,0.477266518,0.743266518,0.460266518,-0.022900148,-0.098566815,0.692349852,-0.627816815,-0.058650148,0.738516518,0.119349852,-0.537816815,-0.269816815,0.169683185,0.514683185,-0.091316815,0.316349852,1.264183185,-0.632066815,0.492683185,0.485766518,-0.649816815,0.576849852,1.130849852,1.338516518,0.626516518,-0.358650148,0.041933185,2.041683185,-0.151483482,0.534766518,-0.704650148,1.099599852,0.827433185,-0.522066815,-0.083900148,-0.080233482,0.848683185,-0.219150148,0.166599852,0.339349852,1.327599852,0.639849852,1.229516518,-0.226316815,0.694183185,0.184933185,0.449933185,0.711099852,0.358599852,0.429099852,1.283933185,0.830849852,0.794849852,-0.439816815,-0.635066815,0.311766518,1.570433185,1.041099852,0.733266518,1.797599852,1.690599852,1.470849852,1.936099852,1.271099852,0.823599852,1.458349852,1.526099852,1.551099852,1.353683185,1.204349852,1.450516518,2.801516518,0.647516518,1.925599852,3.012724852
Bangladesh,0.057872334,-0.216877666,0.397705668,0.237122334,-0.075044332,0.089872334,-0.150710999,-0.713460999,0.021789001,-0.148877666,0.041205668,0.131039001,-0.288544332,-0.317877666,-0.132710999,-0.367460999,-0.221710999,0.325372334,0.082122334,-0.248627666,-0.341377666,0.178789001,0.069539001,0.011789001,0.321872334,0.090872334,0.402955668,-0.350710999,-0.001377666,-0.105210999,0.202705668,-0.065460999,-0.136877666,0.316539001,0.332705668,-0.048794332,-0.063794332,0.167205668,0.036039001,-0.076960999,0.232455668,0.442705668,0.152205668,0.418205668,0.376205668,0.148705668,0.148705668,-0.003210999,0.216539001,0.405539001,0.148122334,-0.161210999,0.198955668,0.460789001,0.337789001,0.548372334,0.388039001,0.278789001,0.173872334,0.430622334,0.986122334,0.167539001,0.662872334,0.248372334,0.211539001,0.284205668,0.483205668,0.217122334,0.662955668,0.171039001,0.119122334,0.432955668,0.365205668,-0.186210999,0.322455668,0.444205668,0.218122334,0.322539001,0.380789001,0.225205668,0.217622334,0.889705668,0.519289001,0.130455668,0.322705668,0.248455668,0.244039001,0.600039001,0.472872334,0.821039001,0.888289001,0.483372334,0.460372334,0.313789001,0.300872334,0.181789001,0.440289001,0.594455668,0.618872334,0.037872334,0.702789001,0.893455668,0.328789001,0.515622334,0.558955668,0.459455668,0.564955668,0.710622334,0.944289001,0.522372334,0.568122334,1.083539001,1.118955668,0.383705668,0.712205668,1.146122334
