id,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,-0.088166667,0.93425,-0.6465,0.144666667,0.611833333,-1.519416667,0.819333333,-0.420083333,0.49925,-0.532,0.34625,0.22625,-0.708916667,0.1685,0.517666667,-0.043416667,0.437583333,0.61775,-1.571583333,0.5735,-0.43325,0.397666667,-0.844416667,1.135083333,0.083916667,-0.916583333,0.290083333,0.30275,-0.186416667,0.09925,-0.211583333,-0.15125,-0.151166667,0.116916667,0.217166667,0.21825,-0.5415,-0.045166667,0.711166667,-0.435833333,0.639666667,-0.049333333,0.572083333,0.76875,-1.051583333,-0.743333333,0.583916667,-0.4255,0.728416667,0.440416667,-0.699833333,-0.985166667,-0.306583333,0.92425,0.207666667,0.475333333,-0.959416667,0.95125,-0.4515,-1.413916667,1.939583333,-0.564166667,-0.167166667,0.0795,-0.29625,1.26475,-1.9485,1.016916667,0.241166667,-0.67975,0.099083333,0.04275,0.978,0.040416667,-2.276333333,1.688333333,-0.91875,0.231333333,0.1605,1.096833333,-0.47575,-0.067583333,0.62525,-0.02725,-1.127,0.88175,-0.369,0.642916667,-0.665583333,0.760833333,0.405,-1.26325,0.867583333,-0.622583333,-0.314666667,0.383166667,0.3155,0.104416667,-0.433166667,0.478,0.2285,0.25625,0.109083333,0.28025,-0.240416667,-0.621666667,0.854916667,-0.790916667,0.615583333,-0.489416667,0.110333333,0.04125,0.570916667,-0.310666667,-1.036416667,2.052041667
Albania,0.605416667,-0.308833333,0.4825,-0.619,0.033083333,0.061166667,-0.0145,-0.3655,0.015916667,0.043916667,0.023583333,0.312583333,0.105,-0.18125,-0.42575,0.294333333,-0.336333333,0.674583333,0.85975,-0.866,0.047083333,-0.41075,0.377,-0.1865,0.1595,0.642833333,-0.761333333,0.138666667,0.561833333,0.365916667,-0.721333333,-0.874083333,1.183833333,-0.545333333,-0.077833333,-0.573083333,1.513416667,-0.58125,0.175583333,0.135416667,-0.639416667,0.443416667,-1.47525,0.473083333,0.250416667,0.89125,-0.749833333,0.497166667,0.527916667,-0.077083333,-0.6415,-0.235666667,1.294583333,-0.243,0.004083333,-0.987583333,-0.13625,0.698,-0.97575,0.906083333,0.116083333,-0.788916667,0.9295,-0.018333333,-0.248,0.017083333,-0.5705,-0.136916667,0.826166667,-0.582833333,0.247833333,-0.066666667,0.03675,-0.30525,0.073833333,-0.121583333,0.073166667,0.008583333,-0.532166667,1.187,-0.959666667,0.725583333,-0.827083333,0.416583333,0.436583333,-0.504333333,0.129833333,0.307416667,0.10825,-0.059833333,0.0475,-0.24025,0.664833333,-1.129833333,0.745833333,0.037916667,0.977083333,-1.317583333,-0.045583333,0.164416667,0.410333333,0.3425,0.092833333,-0.056166667,-0.1305,0.066666667,-0.368416667,-0.511083333,0.229833333,0.913583333,0.064666667,-0.110916667,-0.068833333,-0.332166667,0.325,1.225625
Algeria,-0.381916667,0.554833333,-0.515333333,-0.13775,0.326,-0.49675,0.126666667,-0.12225,-0.0915,-0.297,0.658,-0.25975,0.107083333,-0.10225,0.292083333,0.2125,-0.036083333,-0.222,-0.178166667,-0.181833333,-0.049916667,0.362083333,0.321,-0.37075,0.210916667,-0.49875,0.982333333,-0.6915,0.775083333,-0.16625,-0.22,-0.443333333,0.782416667,0.411333333,-0.248916667,-0.448416667,-0.423833333,0.175083333,0.021166667,0.786583333,-0.999833333,0.11375,0.1645,0.4375,0.16675,-0.576833333,-0.099166667,0.431333333,-0.11125,0.435916667,-0.618833333,0.116833333,-0.406333333,0.539833333,-0.13625,-0.316,-0.217,1.352416667,-1.3935,0.008916667,0.924666667,-0.21125,0.170416667,-0.11375,-0.207916667,0.135416667,-0.170333333,-0.17375,0.327583333,-0.439666667,0.32425,0.272333333,-0.135416667,-0.650583333,0.025916667,0.188,-0.345166667,0.175416667,-0.359666667,1.189333333,-0.38425,0.235,-0.236666667,0.419083333,-0.485083333,0.588833333,-0.619916667,0.463166667,-0.269583333,0.991083333,-0.432083333,-0.091333333,0.290083333,-1.003333333,-0.244083333,0.683833333,0.19125,0.080416667,0.011833333,0.220833333,-0.034583333,0.378833333,-0.267166667,0.692166667,-0.461416667,0.130666667,-0.477666667,0.306583333,-0.02175,-0.1355,-0.115083333,0.204083333,1.061333333,-1.0715,-0.189333333,1.166666667
Angola,-0.42575,0.336666667,0.232166667,-0.0385,-0.115666667,-0.051,-0.7655,0.685166667,-0.172666667,-0.280916667,0.298833333,0.255583333,-0.017333333,-0.363583333,0.699583333,-0.10025,-0.09125,0.012166667,0.234166667,-0.303333333,-0.730583333,0.314833333,0.524166667,0.14325,-0.016666667,-0.288583333,0.388166667,-0.463666667,0.376333333,-0.006416667,0.195333333,-0.247416667,-0.245333333,0.435166667,-0.430833333,0.211916667,0.145166667,-0.239166667,-0.20675,0.201916667,-0.002666667,-0.207416667,0.224416667,0.557333333,-0.415833333,-0.21525,0.48725,-0.168166667,0.164416667,-0.034333333,-0.229666667,0.031916667,-0.356416667,0.430333333,0.1855,-0.462833333,-0.157833333,0.01125,-0.056333333,0.469583333,0.02875,0.061416667,-0.154583333,0.011666667,-0.090083333,-0.010916667,-0.151333333,0.1335,0.283333333,-0.326833333,-0.02825,0.442333333,-0.040666667,-0.312833333,0.174,0.338666667,-0.726166667,0.115416667,-0.2915,0.503333333,-0.13375,0.32775,-0.067166667,-0.049666667,-0.207916667,0.54725,-0.011083333,-0.334333333,0.014416667,0.713666667,-0.337583333,-0.290166667,0.34425,-0.371,0.403166667,-0.207583333,-0.101583333,0.74675,-0.456916667,-0.162083333,0.803,-0.738083333,-0.021416667,0.14225,0.422583333,0.141083333,-0.49375,0.39325,-1.019,0.48,-0.13975,0.029166667,0.365,-0.651833333,0.093666667,0.384541667
Argentina,-0.745666667,0.873583333,0.13925,0.002083333,-0.188166667,-0.245083333,0.05625,-0.240916667,0.503166667,-0.69125,0.356583333,-0.104333333,-0.091,-0.27825,0.612583333,0.660416667,-0.668833333,0.094833333,-0.138333333,0.213083333,-0.29925,0.37825,-0.12775,-0.433916667,0.083166667,-0.1925,0.048833333,0.47525,0.276,-0.154083333,-0.508166667,0.5615,0.076,-0.72775,0.86325,-0.396416667,-0.228583333,0.461666667,-0.1195,0.054583333,-0.253,0.135416667,-0.037666667,-0.143083333,-0.044,0.495166667,0.461083333,0.025916667,-0.772583333,0.158666667,0.00175,-0.007,0.02375,0.041833333,0.079416667,0.058416667,-0.483333333,-0.30025,-0.16975,0.634833333,0.287166667,-0.589166667,0.639416667,-0.02075,-0.1205,-0.00525,-0.415916667,0.478333333,-0.231583333,0.37175,0.147166667,0.065916667,-0.0675,-0.544166667,0.16725,-0.2205,0.03975,0.302,-0.499416667,0.911,-0.165166667,-0.211416667,0.25225,-0.0595,0.089333333,-0.302416667,-0.5535,0.925416667,0.0085,-0.14725,-0.351166667,0.706666667,-0.387916667,-0.0575,-0.358416667,0.3595,0.48,-0.428833333,0.06175,0.409083333,-0.358916667,-0.196833333,-0.314416667,0.619916667,-0.186666667,0.334583333,-0.076166667,-0.329333333,0.44825,-0.933,0.847916667,0.058416667,-0.455583333,0.260833333,0.349333333,-1.231875
Armenia,-0.386333333,1.66475,-1.262,1.00925,-0.748833333,-0.476166667,-0.179083333,0.439583333,0.06375,-0.7625,0.188833333,0.868916667,-0.119333333,-1.533583333,1.922666667,-0.821916667,0.394833333,0.4175,0.186083333,0.303166667,-0.508416667,-0.008916667,-1.859,0.681,1.455416667,-0.305166667,0.134916667,-0.067416667,-0.26525,-0.0445,-1.067416667,0.332583333,1.156416667,-1.1115,0.208916667,-0.359666667,0.191416667,1.006916667,-0.251916667,0.540333333,-0.362083333,0.045,0.386,-0.316833333,-0.397583333,-0.02925,0.556,-1.224,0.462166667,1.08225,-0.931166667,-0.503833333,0.190666667,0.528583333,0.468416667,-0.84125,0.568166667,1.03125,-2.202833333,1.207,-0.002083333,-1.00275,1.30575,0.20875,0.500083333,-0.709083333,-1.215333333,0.438416667,2.344916667,-2.753916667,0.8195,-0.67575,1.61575,-0.741166667,-1.31625,0.418,0.107166667,0.678666667,-0.647916667,0.347,0.355583333,1.09875,-0.787833333,0.446833333,-1.531083333,0.72625,0.067166667,0.107,0.132083333,-0.310166667,-0.370583333,1.15975,-0.52775,0.1145,-1.757916667,0.155,1.251583333,0.870916667,-0.073,-0.572833333,1.202083333,-0.117416667,-0.412833333,0.52525,-0.838416667,-0.181916667,0.297083333,0.01525,0.318083333,-0.51825,0.1715,0.135333333,1.667416667,-2.3735,1.21475,0.993
Australia,-0.246583333,-0.384,0.579666667,-0.184,0.015333333,-0.421166667,-0.205916667,0.206666667,0.7075,-0.5905,-0.43,0.18825,0.516333333,-0.221166667,0.47825,-0.638333333,0.9985,-0.0415,-0.640416667,-0.732916667,0.597833333,0.45925,-0.504166667,0.355666667,-0.230333333,0.087083333,-0.32425,-0.11475,0.60475,-0.30475,0.62125,-0.917833333,0.539583333,-0.40175,0.220583333,-0.073166667,0.120583333,-0.109666667,0.318916667,-0.189,0.561416667,-0.74875,0.341583333,-0.31875,0.563583333,-0.60925,0.213,0.073916667,-0.362833333,0.349,-0.13075,-0.474583333,0.338,0.234083333,-0.07,-0.012416667,0.084083333,0.004416667,-0.557083333,0.896666667,0.094583333,0.100916667,-0.887666667,0.75375,-0.161333333,-0.105083333,-0.047083333,0.441333333,-0.731083333,0.264416667,-0.16325,0.385416667,-0.071833333,-0.121416667,0.35775,0.400666667,-1.174666667,0.454583333,-0.49925,0.699083333,-0.287333333,0.647166667,0.333833333,-0.422083333,-0.253583333,0.350583333,-0.744166667,0.5265,0.049833333,-0.020833333,0.557666667,-0.76725,0.492916667,0.131666667,-0.554833333,0.227583333,-0.129916667,-0.075083333,0.370166667,-0.239333333,0.578833333,-0.600333333,-0.354833333,0.083083333,0.668083333,-0.0205,-0.153416667,0.609916667,-0.632416667,0.222333333,-0.260833333,0.464666667,-0.612416667,-0.311166667,0.2575,0.118375
Austria,0.72,-0.751166667,0.593083333,-1.01375,-0.0795,0.663083333,0.2945,-0.547083333,0.038666667,-0.067166667,-0.416166667,-0.092166667,0.79925,0.482416667,-1.129416667,0.531416667,-0.283333333,0.10975,0.790166667,-1.082583333,0.75625,-0.925833333,1.332083333,0.038083333,-1.348416667,0.935083333,-0.868916667,0.486916667,0.749666667,-0.3225,0.163083333,-1.086166667,1.231666667,-1.180416667,0.627166667,-0.927166667,2.085666667,-1.259166667,0.345833333,0.086583333,-0.19325,-0.16275,-1.508333333,0.549333333,0.398416667,1.23425,-0.940333333,0.762833333,0.099416667,-0.05725,0.104666667,0.088,0.072916667,0.044083333,-0.8845,0.593583333,-1.084416667,0.165,-0.6745,1.5,-0.1265,0.28025,-0.321666667,0.6585,-1.744583333,0.209916667,0.552416667,-0.56625,1.236333333,-0.03525,-0.458916667,-0.378916667,-0.0655,0.5145,-0.1995,-0.036333333,0.677916667,0.006583333,-0.481916667,0.499916667,-1.129166667,0.617166667,-0.770416667,0.87,0.415,0.2685,-1.12525,-0.138833333,0.393916667,-0.147416667,0.912666667,0.29025,-0.028416667,-0.986083333,1.257666667,-0.756916667,1.30625,-1.318416667,-0.98325,1.161833333,0.197666667,0.0115,0.850666667,-0.896,0.726333333,-0.405916667,-0.60325,-0.296583333,0.668083333,0.698916667,-0.174583333,-0.185916667,-0.966916667,1.2065,-0.24425,0.443791667
Azerbaijan,-0.591833333,1.496833333,-1.334,1.065416667,-0.643,-0.25625,-0.231166667,0.410666667,0.132083333,-0.858333333,0.127083333,1.001666667,-0.03075,-1.814416667,1.830666667,-0.3575,0.35075,0.366083333,-0.272166667,0.478833333,-0.660833333,0.225833333,-1.853083333,0.894333333,1.247583333,-0.273666667,-0.1305,0.183166667,-0.392583333,0.069416667,-1.082666667,0.179666667,0.90025,-0.78025,0.325583333,-0.13825,-0.015833333,0.95175,-0.104083333,0.3555,-0.049083333,-0.096,0.266,-0.283,-0.483166667,-0.075666667,0.790916667,-1.320166667,0.569166667,0.797166667,-0.619166667,-0.657166667,0.268,0.4395,0.345,-0.606,0.407666667,0.947833333,-1.89625,1.12475,-0.006916667,-1.135583333,1.226666667,0.554,0.207666667,-0.712,-0.985166667,0.400583333,1.99975,-2.193166667,0.68625,-1.239416667,1.80425,-0.272166667,-1.3495,0.438166667,0.003666667,0.928916667,-1.067833333,0.38575,0.17275,0.98825,-0.68775,0.589666667,-1.455833333,0.9205,-0.50925,0.265,0.261166667,-0.3525,0.0705,0.854833333,-0.453083333,-0.036,-1.234666667,-0.19525,0.946833333,1.258666667,-0.529333333,-0.307833333,1.064333333,-0.107,-0.21975,0.46525,-0.665,-0.4475,0.63475,0.06775,0.025,-0.197416667,-0.149333333,0.246166667,1.351,-2.154,1.278083333,1.087125
Bangladesh,-0.31275,-0.27475,0.614583333,-0.160583333,-0.312166667,0.164916667,-0.240583333,-0.56275,0.73525,-0.170666667,0.190083333,0.089833333,-0.419583333,-0.029333333,0.185166667,-0.23475,0.14575,0.547083333,-0.24325,-0.33075,-0.09275,0.520166667,-0.10925,-0.05775,0.310083333,-0.231,0.312083333,-0.753666667,0.349333333,-0.103833333,0.307916667,-0.268166667,-0.071416667,0.453416667,0.016166667,-0.3815,-0.015,0.231,-0.131166667,-0.113,0.309416667,0.21025,-0.2905,0.266,-0.042,-0.2275,0,-0.151916667,0.21975,0.189,-0.257416667,-0.309333333,0.360166667,0.261833333,-0.123,0.210583333,-0.160333333,-0.10925,-0.104916667,0.25675,0.5555,-0.818583333,0.495333333,-0.4145,-0.036833333,0.072666667,0.199,-0.266083333,0.445833333,-0.491916667,-0.051916667,0.313833333,-0.06775,-0.551416667,0.508666667,0.12175,-0.226083333,0.104416667,0.05825,-0.155583333,-0.007583333,0.672083333,-0.370416667,-0.388833333,0.19225,-0.07425,-0.004416667,0.356,-0.127166667,0.348166667,0.06725,-0.404916667,-0.023,-0.146583333,-0.012916667,-0.119083333,0.2585,0.154166667,0.024416667,-0.581,0.664916667,0.190666667,-0.564666667,0.186833333,0.043333333,-0.0995,0.1055,0.145666667,0.233666667,-0.421916667,0.04575,0.515416667,0.035416667,-0.73525,0.3285,0.433916667
