id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFG,0.21,0.19,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.06,0.09,0.15,0.24,0.29,0.41,0.35,0.32,0.3
AGO,0.42,0.41,0.4,0.43,0.28,0.77,0.71,0.49,0.47,0.57,0.58,0.57,0.72,0.5,1,0.98,1.1,1.2,1.18,1.23,1.24,1.25,1.33,1.25,1.29
ALB,1.68,1.31,0.77,0.72,0.6,0.65,0.64,0.49,0.56,0.96,0.98,1.05,1.23,1.41,1.38,1.41,1.3,1.32,1.48,1.5,1.58,1.8,1.69,1.75,1.98
ARE,27.96,28.94,27.86,29.89,31.4,28.85,15.97,15.42,28.71,26.23,35.68,30.49,24.15,28.55,27.7,25.36,23.63,22.44,22.82,21.91,19.44,19.08,19.82,18.95,23.3
ARG,3.43,3.53,3.61,3.46,3.54,3.66,3.81,3.85,3.86,4.01,3.84,3.57,3.29,3.53,4.07,4.14,4.43,4.38,4.68,4.41,4.56,4.6,4.57,4.46,4.75
ARM,0,0,1.69,0.76,0.82,1.06,0.81,1.03,1.08,0.98,1.13,1.16,1,1.14,1.21,1.46,1.48,1.73,1.91,1.51,1.47,1.71,1.98,1.9,1.9
AUS,15.45,15.13,15.32,15.7,15.58,15.6,16.5,16.51,16.94,17.19,17.2,16.73,17.37,16.9,17.03,17.17,17.65,17.87,18.16,18.2,17.74,17.54,17.07,16.1,15.39
AUT,7.51,7.94,7.23,7.22,7.19,7.52,7.94,7.86,7.98,7.74,7.77,8.19,8.3,8.89,8.86,9.02,8.73,8.41,8.3,7.52,8.07,7.75,7.39,7.37,6.87
AZE,0,0,7.62,6.46,5.53,4.34,4.03,3.8,4,3.58,3.67,3.55,3.62,3.72,3.86,4.09,4.62,3.56,4.05,3.57,3.39,3.65,3.82,3.79,3.93
BDI,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.04
BEL,10.64,11.09,11.15,10.68,11.11,11.08,11.62,11.33,11.6,11.17,11.23,11.13,10.39,10.88,10.66,10.36,10.15,9.74,9.75,9.25,10.17,9.05,8.56,8.69,8.33
BEN,0.14,0.16,0.17,0.21,0.22,0.22,0.21,0.19,0.19,0.23,0.23,0.26,0.29,0.31,0.32,0.3,0.47,0.53,0.51,0.52,0.55,0.56,0.56,0.58,0.61
BFA,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.08,0.08,0.08,0.09,0.08,0.08,0.09,0.08,0.08,0.1,0.12,0.13,0.13,0.13,0.14,0.16,0.18,0.16
BGD,0.15,0.15,0.16,0.15,0.16,0.19,0.2,0.2,0.19,0.2,0.21,0.24,0.25,0.26,0.27,0.28,0.3,0.3,0.33,0.36,0.39,0.41,0.43,0.44,0.46
BGR,8.54,6.67,6.35,8.01,6.41,6.9,6.76,6.21,5.93,5.36,5.33,5.8,5.7,6.08,6.06,6.26,6.45,6.93,6.77,5.73,5.96,6.72,6.12,5.45,5.87
BHS,7.61,6.83,6.74,6.27,6.11,6.01,5.88,4.75,5.79,5.71,5.6,5.18,5.1,4.81,5.34,5.29,4.96,4.94,4.29,4.63,4.58,5.09,5.29,7.43,6.32
BIH,0,0,3.55,3.08,0.82,0.89,1.13,2.24,2.82,2.76,3.66,3.54,3.79,3.83,4.13,4.29,4.65,4.68,5.35,5.53,5.72,6.48,6.1,6.08,6.23
BLR,0,0,8.56,7.5,6.36,5.96,5.92,5.89,5.77,5.6,5.39,5.31,5.31,5.46,5.98,6.12,6.46,6.33,6.62,6.44,6.64,6.76,6.68,6.74,6.7
BLZ,1.66,1.88,1.83,1.91,1.85,1.82,1.44,1.75,1.61,1.46,1.6,1.75,1.65,1.61,1.42,1.49,1.53,1.6,1.43,1.87,1.68,1.83,1.42,1.49,1.41
BOL,0.84,0.86,0.93,1.08,1.16,1.3,1.27,1.39,1.37,1.28,1.33,1.01,1.2,1.26,1.24,1.34,1.62,1.31,1.38,1.43,1.53,1.6,1.84,1.82,1.93
