id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFG,0.08,0.05,-0.04,-0.05,-0.06,-0.07,-0.07,-0.08,-0.08,-0.1,-0.1,-0.1,-0.09,-0.09,-0.1,-0.09,-0.07,-0.05,0.02,0.1,0.16,0.27,0.21,0.18,0.16
AGO,-0.4,-0.41,-0.41,-0.38,-0.53,-0.05,-0.1,-0.33,-0.34,-0.24,-0.24,-0.24,-0.09,-0.32,0.18,0.16,0.28,0.38,0.37,0.42,0.43,0.44,0.52,0.44,0.48
ALB,0.47,0.1,-0.44,-0.49,-0.61,-0.56,-0.57,-0.72,-0.65,-0.25,-0.23,-0.16,0.02,0.2,0.17,0.2,0.09,0.11,0.27,0.29,0.37,0.59,0.48,0.54,0.77
ARE,2.98,3.96,2.88,4.91,6.42,3.86,-9.01,-9.56,3.73,1.25,10.7,5.51,-0.83,3.57,2.72,0.38,-1.35,-2.54,-2.16,-3.07,-5.54,-5.91,-5.17,-6.03,-1.68
ARG,-0.57,-0.47,-0.4,-0.54,-0.46,-0.34,-0.19,-0.15,-0.14,0.01,-0.17,-0.43,-0.71,-0.48,0.07,0.14,0.43,0.38,0.68,0.41,0.56,0.6,0.57,0.46,0.75
ARM,0,0,0.35,-0.58,-0.52,-0.28,-0.54,-0.31,-0.26,-0.37,-0.22,-0.18,-0.34,-0.21,-0.13,0.12,0.14,0.38,0.57,0.16,0.12,0.37,0.63,0.56,0.56
AUS,-1.27,-1.59,-1.4,-1.02,-1.14,-1.12,-0.22,-0.21,0.21,0.47,0.48,0.01,0.65,0.18,0.31,0.45,0.93,1.14,1.44,1.48,1.02,0.82,0.35,-0.63,-1.33
AUT,-0.39,0.04,-0.68,-0.68,-0.71,-0.38,0.04,-0.04,0.08,-0.16,-0.13,0.29,0.4,0.99,0.96,1.12,0.82,0.5,0.39,-0.38,0.17,-0.15,-0.52,-0.53,-1.03
AZE,0,0,3.43,2.28,1.34,0.15,-0.16,-0.38,-0.18,-0.6,-0.52,-0.64,-0.56,-0.47,-0.32,-0.09,0.43,-0.63,-0.13,-0.62,-0.8,-0.54,-0.36,-0.4,-0.25
BDI,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0.01
BEL,0.25,0.7,0.75,0.28,0.71,0.69,1.23,0.94,1.21,0.78,0.84,0.74,-0.01,0.49,0.27,-0.04,-0.24,-0.65,-0.64,-1.14,-0.22,-1.34,-1.83,-1.7,-2.06
BEN,-0.2,-0.18,-0.17,-0.14,-0.12,-0.12,-0.13,-0.15,-0.15,-0.11,-0.11,-0.09,-0.06,-0.03,-0.02,-0.04,0.13,0.19,0.16,0.18,0.21,0.22,0.22,0.24,0.27
BFA,-0.03,-0.03,-0.03,-0.03,-0.03,-0.04,-0.03,-0.02,-0.02,-0.02,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,0,0.02,0.03,0.03,0.03,0.04,0.06,0.08,0.06
BGD,-0.12,-0.12,-0.11,-0.11,-0.1,-0.07,-0.07,-0.06,-0.08,-0.07,-0.06,-0.03,-0.02,-0.01,0,0.01,0.03,0.03,0.07,0.09,0.13,0.14,0.17,0.18,0.19
BGR,2.21,0.33,0.01,1.67,0.08,0.57,0.43,-0.12,-0.4,-0.98,-1.01,-0.53,-0.64,-0.25,-0.27,-0.08,0.11,0.59,0.44,-0.6,-0.37,0.38,-0.22,-0.88,-0.46
BHS,1.99,1.2,1.12,0.65,0.49,0.39,0.26,-0.87,0.17,0.09,-0.02,-0.44,-0.52,-0.81,-0.28,-0.33,-0.66,-0.68,-1.33,-0.99,-1.04,-0.53,-0.33,1.8,0.7
BIH,0,0,-0.42,-0.89,-3.15,-3.08,-2.85,-1.73,-1.15,-1.21,-0.31,-0.43,-0.18,-0.14,0.16,0.31,0.68,0.71,1.38,1.55,1.74,2.5,2.13,2.11,2.26
BLR,0,0,2.27,1.21,0.08,-0.32,-0.36,-0.4,-0.51,-0.69,-0.89,-0.97,-0.97,-0.82,-0.31,-0.16,0.18,0.05,0.34,0.16,0.36,0.48,0.4,0.45,0.42
BLZ,0.02,0.24,0.19,0.27,0.22,0.19,-0.2,0.11,-0.03,-0.18,-0.04,0.12,0.01,-0.03,-0.22,-0.15,-0.11,-0.04,-0.21,0.23,0.04,0.19,-0.22,-0.15,-0.23
BOL,-0.49,-0.47,-0.4,-0.26,-0.17,-0.03,-0.06,0.06,0.04,-0.06,-0.01,-0.32,-0.13,-0.07,-0.09,0,0.29,-0.03,0.05,0.1,0.2,0.27,0.5,0.49,0.6
BRA,-0.46,-0.42,-0.43,-0.39,-0.34,-0.27,-0.13,-0.07,-0.03,-0.01,0.01,0.04,-0.02,-0.1,-0.03,0,-0.02,0.04,0.15,0.02,0.27,0.35,0.48,0.63,0.73
BRN,6.11,2.12,1.21,-0.19,-1.61,-1.71,-1.84,-1.6,-1.31,-5.84,-3.68,-4.57,-5.2,-4.83,-3.92,-4.11,-4.69,4.63,6.23,2.66,3.28,6.79,6.36,1.41,4.3
BTN,-0.41,-0.3,-0.24,-0.3,-0.24,-0.16,-0.07,0.09,0.05,0.04,0.04,0,0.04,-0.04,-0.17,-0.05,-0.07,-0.08,-0.05,-0.1,0.02,0.34,0.44,0.55,0.64
BWA,-0.15,-0.25,-0.21,0.02,-0.14,-0.17,-0.4,-0.4,-0.11,-0.26,0.07,0.08,0.12,0.01,0.02,0.09,0.08,0.1,0.2,-0.21,0.21,-0.08,-0.09,0.34,1.13
CAF,0,0,0,0.01,0.01,0.01,0,0,0,0.01,0.01,0,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0
CAN,-0.54,-1.05,-0.74,-0.75,-0.51,-0.27,-0.04,0.32,0.55,0.7,1.17,0.78,0.36,1.26,1.06,1.05,0.5,0.66,0.67,-0.24,-0.48,-0.56,-1.31,-1.49,-1.08
CHE,0.84,0.77,0.72,0.37,0.4,0.06,0.13,0.34,0.36,0.19,-0.07,0.43,0.08,-0.03,-0.04,0.05,0.09,-0.48,-0.22,-0.13,-0.52,-0.83,-0.78,-0.53,-1.19
CHL,-1.16,-1.35,-1.3,-1.19,-0.98,-0.76,-0.33,0.16,0.19,0.4,0.17,-0.23,-0.15,-0.16,0.06,0.15,0.29,0.66,0.63,0.29,0.57,0.94,1,1.09,1.01
CHN,-2.02,-1.94,-1.86,-1.73,-1.61,-1.42,-1.33,-1.35,-1.5,-1.52,-1.48,-1.43,-1.17,-0.65,-0.14,0.35,0.81,1.16,1.53,1.84,2.39,3.07,3.25,3.38,3.37
CIV,0.01,-0.04,-0.09,-0.01,-0.07,0.06,0.12,0.09,0.04,-0.02,0.01,0.05,0.02,-0.09,0.03,0.03,-0.03,-0.04,-0.05,-0.12,-0.06,-0.05,0.03,0.09,0.09
CMR,-0.11,-0.17,0.05,0.05,0.03,0.06,0.06,-0.03,-0.04,-0.05,-0.03,-0.04,-0.05,-0.03,-0.03,-0.05,-0.04,0.06,0.03,0.09,0.08,0.02,0.03,0.05,0.06
COD,0.08,0.04,0.03,0.02,0,0.01,0.01,0,-0.01,-0.01,-0.02,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,-0.01,0.01,0.02
COG,0.05,-0.03,0.06,0.06,0.36,0.13,0.16,0.36,-0.18,-0.17,-0.11,-0.2,-0.27,-0.17,-0.17,-0.17,-0.14,-0.13,-0.12,-0.02,0.02,0.07,0.21,0.22,0.2
COL,0.09,0.06,0.17,0.19,0.26,0.01,0.01,0.1,0.1,-0.16,-0.14,-0.21,-0.24,-0.22,-0.29,-0.17,-0.14,-0.17,-0.06,0.02,0.08,0.07,0.13,0.32,0.18
CRI,-0.54,-0.45,-0.33,-0.31,0.04,-0.11,-0.18,-0.14,-0.09,-0.06,-0.1,-0.06,0.06,0.11,0.16,0.12,0.15,0.36,0.34,0.26,0.17,0.19,0.17,0.12,0.13
CUB,0.52,0.15,0.28,0.09,0.34,-0.27,-0.17,-0.39,-0.42,-0.35,-0.29,-0.36,-0.31,-0.37,-0.41,-0.33,-0.21,-0.26,0.06,0.01,0.75,0.54,0.55,0.42,0.41
CYP,-1.08,-0.8,-0.32,-0.13,-0.05,-0.5,0.01,-0.21,0.26,0.1,0.56,0.34,0.4,1.01,0.47,0.51,0.66,0.92,1.14,0.6,0.14,-0.19,-0.69,-1.59,-1.53
CZE,0,0,1.94,1.39,0.72,0.54,0.71,0.92,0.46,-0.56,0.63,0.66,0.3,0.53,0.01,0.32,0.48,0.53,-0.21,-1.14,-0.79,-1.26,-1.83,-2.06,-2.28
DEU,0,1.61,1.06,0.81,0.62,0.57,0.85,0.5,0.42,0.01,0.09,0.36,0.05,-0.04,-0.11,-0.34,-0.1,-0.52,-0.5,-1.19,-0.73,-0.88,-0.81,-0.62,-1.12
DJI,0.01,-0.03,-0.03,-0.04,-0.05,-0.06,-0.06,-0.05,-0.08,-0.09,-0.07,-0.04,0,0.02,-0.01,-0.01,-0.02,0.03,0.07,0.01,0.07,0.01,0.05,0.14,0.25
DNK,0.13,2.05,0.86,1.35,2.07,1.28,4.07,2,1.58,0.72,-0.03,0.23,0.04,0.74,-0.28,-0.95,0.47,-0.44,-1.1,-1.59,-1.24,-2.35,-3.13,-2.78,-3.71
DOM,-0.74,-0.65,-0.56,-0.48,-0.42,-0.01,0.13,0.18,0.19,0.18,0.29,0.25,0.39,0.37,-0.01,-0.01,0.09,0.2,0.12,0.05,0.1,0.09,0.15,0.06,0.04
DZA,-0.15,-0.14,-0.17,-0.16,-0.07,0.18,0.18,-0.2,0.41,-0.13,-0.3,-0.46,-0.31,-0.29,-0.42,0.1,-0.13,0.07,0.04,0.3,0.18,0.17,0.34,0.39,0.6
ECU,-0.42,-0.49,0.02,0.15,-0.84,-0.07,0.01,-0.52,-0.22,-0.33,-0.42,-0.27,-0.16,-0.03,0.09,0.14,0,0.18,0.28,0.39,0.38,0.48,0.41,0.55,0.7
EGY,-0.62,-0.6,-0.59,-0.42,-0.58,-0.44,-0.37,-0.31,-0.13,-0.12,0.08,-0.18,-0.19,0.06,0.06,0.23,0.34,0.43,0.51,0.56,0.47,0.59,0.53,0.43,0.26
ERI,0,0,0,0,0.09,0.11,0.14,0.08,-0.01,0,-0.01,-0.01,-0.02,0,0.01,0,-0.05,-0.05,-0.09,-0.07,-0.07,-0.06,0,0,0
ESP,-0.89,-0.73,-0.54,-0.95,-0.61,-0.43,-0.67,-0.22,-0.01,0.48,0.74,0.77,1.08,1.09,1.39,1.58,1.37,1.4,0.65,-0.3,-0.7,-0.73,-0.86,-1.43,-1.48
EST,0,0,2.82,0.3,0.26,-0.56,0.2,0.18,-0.99,-1.85,-2.12,-1.54,-1.97,-0.27,-0.07,-0.39,-0.75,1.2,0.32,-1.84,0.84,1.26,0.57,2.33,2.09
ETH,0,-0.01,-0.01,-0.01,-0.03,-0.02,-0.02,-0.02,-0.02,-0.02,-0.01,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.05
FIN,-0.45,-0.12,-1.41,-0.88,0.42,-0.51,1.13,0.83,0.23,-0.1,-0.7,0.17,1.03,2.43,2,-0.41,1.74,1.27,-0.19,-0.87,0.75,-0.28,-1.75,-2.15,-2.17
FJI,-0.04,-0.25,-0.16,-0.17,-0.18,-0.18,-0.11,-0.16,-0.2,-0.19,-0.12,0.14,-0.07,0.12,0.49,0.17,0.31,0.23,-0.1,-0.23,0.26,0.09,0.05,0.15,0.16
FRA,0.58,0.83,0.38,0.25,-0.14,0.02,0.44,0.02,0.43,0.26,0.11,0.31,0.23,0.28,0.28,0.26,0.07,-0.07,-0.15,-0.4,-0.41,-0.76,-0.76,-0.78,-1.27
GAB,1.07,0.98,1.26,1.19,0.49,0.61,0.63,0.55,0.6,0.35,0.16,0.15,-0.12,-0.16,-0.22,-0.17,-0.76,-0.89,-0.94,-0.97,-0.72,-0.72,-0.75,-0.75,-0.88
GBR,0.99,1.15,0.94,0.74,0.73,0.56,0.76,0.33,0.38,0.33,0.48,0.52,0.19,0.34,0.27,0.27,0.18,-0.1,-0.29,-1.14,-0.86,-1.64,-1.36,-1.57,-2.22
GEO,0,0,1.66,0.54,-0.23,-0.99,-0.58,-0.46,-0.31,-0.44,-0.37,-0.55,-0.63,-0.53,-0.38,-0.19,0.1,0.18,-0.14,0.15,0.18,0.64,0.78,0.63,0.93
GHA,-0.1,-0.1,-0.11,-0.08,-0.06,-0.05,-0.04,0,-0.01,-0.01,-0.03,-0.01,0.01,0.01,-0.01,-0.04,0.06,0.07,0.03,-0.04,0.04,0.03,0.1,0.19,0.17
GIN,-0.02,-0.03,-0.03,-0.04,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,0,0,0.01,0.01,0.01,0,0,0,0.02,0.02,0.05,0.06,0.04,0.01,0.02
GMB,-0.02,-0.02,-0.03,-0.02,-0.03,-0.02,-0.03,-0.03,-0.03,-0.02,-0.01,-0.01,0.01,0,0,-0.01,0,0.02,0.02,0.02,0.05,0.05,0.04,0.02,0.06
GNB,0.02,0.02,0.02,0.02,0.01,0.01,0,0.02,-0.01,0.01,-0.04,-0.03,-0.03,-0.01,0,0,0,0.01,0,0,0,0,0,0,0
GNQ,-3.28,-3.11,-3.09,-3.22,-3.37,-3.18,-3.22,-2.9,-3.14,-2.65,-2.7,1.4,4.04,5.23,3.76,2.79,2.57,2.35,1.75,1.65,1.48,2.73,1.49,1.33,1.3
GRC,-0.59,-0.7,-0.62,-0.64,-0.47,-0.42,-0.31,-0.03,0.31,0.17,0.6,0.76,0.71,0.88,0.99,1.1,0.95,1.01,0.78,0.4,-0.34,-0.69,-0.63,-1.54,-1.7
GRL,-0.01,-0.12,-1.28,-0.93,-0.91,-0.96,-0.72,-0.67,-0.55,-0.36,-0.51,-0.4,-0.44,-0.6,0.28,0.72,1.08,1.32,1.75,0.25,1.7,2.47,0.04,-0.16,-0.98
GTM,-0.24,-0.26,-0.17,-0.22,-0.12,-0.1,-0.17,-0.09,-0.01,-0.01,0.06,0.1,0.12,0.07,0.12,0.17,0.15,0.13,0.02,0.04,0,0,-0.01,0.08,0.36
GUY,-0.52,-0.55,-0.65,-0.66,-0.22,-0.12,-0.05,0.05,0.14,0.18,0.09,0.08,0.06,0.04,0.12,-0.13,-0.32,0.05,0.04,0.06,0.26,0.34,0.61,0.51,0.59
HND,-0.32,-0.32,-0.26,-0.32,-0.25,-0.17,-0.17,-0.16,-0.1,-0.1,-0.08,0.01,0.04,0.11,0.17,0.18,0.08,0.29,0.25,0.13,0.13,0.22,0.21,0.2,0.23
HRV,0,0,-0.92,-0.86,-0.96,-0.83,-0.78,-0.34,-0.06,-0.08,-0.18,0.24,0.49,0.84,0.69,0.74,0.74,1.02,0.74,0.41,0.19,0.12,-0.29,-0.38,-0.53
HTI,-0.04,-0.04,-0.06,-0.09,-0.14,-0.07,-0.05,-0.01,-0.03,-0.02,-0.02,0,0.03,0.01,0.04,0.04,0.04,0.07,0.07,0.05,0.03,0.04,0.04,0.05,0.09
HUN,1.19,0.89,0.3,0.45,0.17,0.32,0.49,0.39,0.24,0.22,-0.06,0.07,-0.01,0.3,0.16,0.22,0.17,0.05,-0.06,-0.69,-0.5,-0.73,-1.03,-1.27,-1.26
IDN,-0.65,-0.5,-0.4,-0.33,-0.34,-0.33,-0.21,-0.1,-0.44,-0.32,-0.23,-0.1,-0.07,-0.04,0.03,0.03,0.02,0.13,0.29,0.39,0.29,0.98,1.08,0.47,0.34
IND,-0.38,-0.35,-0.32,-0.31,-0.28,-0.24,-0.19,-0.17,-0.17,-0.13,-0.11,-0.12,-0.12,-0.1,-0.06,-0.02,0.03,0.1,0.22,0.34,0.31,0.39,0.51,0.5,0.64
IRL,-0.6,-0.6,-0.76,-0.74,-0.38,-0.35,0.11,0.43,0.9,1.21,1.35,1.9,1.56,1.2,1.27,0.98,0.62,0.66,0.09,-0.59,-0.7,-1.7,-1.75,-1.95,-2.17
IRN,-2.25,-2.03,-2.07,-1.97,-1.55,-1.49,-1.51,-1.7,-1.16,-0.12,-0.36,-0.05,-0.08,0.09,0.43,0.66,1.16,1.22,1.44,1.53,1.69,1.81,2.01,2.01,2.29
IRQ,-0.83,-1.01,-0.35,-0.22,0.08,0.12,-0.22,-0.38,-0.3,-0.4,-0.48,-0.04,-0.06,0,0.78,0.65,0.01,-1.37,-0.36,-0.06,0.09,0.68,1.1,1.33,1.25
