,Category,Class,Country,Unit,Value
0,Total number of known species,Mammals,Australia,Number,374.0
1,Total number of indigenous known species,Mammals,Australia,Number,348.0
2,Number of endangered species,Mammals,Australia,Number,37.0
3,Number of critically endangered species,Mammals,Australia,Number,10.0
4,Number of vulnerable species,Mammals,Australia,Number,60.0
5,Total number of threatened species,Mammals,Australia,Number,107.0
6,Total number of known species,Mammals,Austria,Number,101.0
7,Total number of indigenous known species,Mammals,Austria,Number,101.0
8,Number of endangered species,Mammals,Austria,Number,6.0
9,Number of critically endangered species,Mammals,Austria,Number,4.0
10,Number of vulnerable species,Mammals,Austria,Number,17.0
11,Total number of threatened species,Mammals,Austria,Number,27.0
12,Number of endangered indigenous species,Mammals,Austria,Number,6.0
13,Number of critically endangered indigenous species,Mammals,Austria,Number,4.0
14,Number of vulnerable indigenous species,Mammals,Austria,Number,17.0
15,Total number of known species,Mammals,Belgium,Number,84.0
16,Total number of indigenous known species,Mammals,Belgium,Number,65.0
17,Number of endangered species,Mammals,Belgium,Number,2.0
18,Number of critically endangered species,Mammals,Belgium,Number,4.0
19,Number of vulnerable species,Mammals,Belgium,Number,12.0
20,Total number of threatened species,Mammals,Belgium,Number,18.0
21,Number of endangered indigenous species,Mammals,Belgium,Number,2.0
22,Number of critically endangered indigenous species,Mammals,Belgium,Number,4.0
23,Number of vulnerable indigenous species,Mammals,Belgium,Number,12.0
24,Total number of known species,Mammals,Canada,Number,221.0
25,Total number of indigenous known species,Mammals,Canada,Number,209.0
26,Number of endangered species,Mammals,Canada,Number,10.0
27,Number of vulnerable species,Mammals,Canada,Number,31.0
28,Total number of threatened species,Mammals,Canada,Number,52.0
29,Number of endangered indigenous species,Mammals,Canada,Number,10.0
30,Number of vulnerable indigenous species,Mammals,Canada,Number,31.0
31,Total number of known species,Mammals,Czech Republic,Number,92.0
32,Total number of indigenous known species,Mammals,Czech Republic,Number,92.0
33,Number of endangered species,Mammals,Czech Republic,Number,1.0
34,Number of critically endangered species,Mammals,Czech Republic,Number,10.0
35,Number of vulnerable species,Mammals,Czech Republic,Number,4.0
36,Total number of threatened species,Mammals,Czech Republic,Number,15.0
37,Total number of known species,Mammals,Denmark,Number,67.0
38,Total number of indigenous known species,Mammals,Denmark,Number,58.0
39,Number of endangered species,Mammals,Denmark,Number,1.0
